               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046492,             0.01452,           0.0043688,             0.71501,             0.87518,             0.87446,             0.48257,            0.031036,           0.0062104,           0.0025665,            0.008845,            0.008845,            0.008845
                  37,            0.039781,            0.016543,           0.0065559,             0.82355,             0.88641,             0.90895,             0.55668,            0.027858,           0.0062664,           0.0022657,            0.008812,            0.008812,            0.008812
                  38,            0.044651,            0.015365,           0.0060146,             0.80252,             0.89862,             0.88175,             0.52399,            0.031446,           0.0062115,           0.0021529,            0.008779,            0.008779,            0.008779
                  39,            0.044182,            0.016808,           0.0048429,             0.72702,              0.8976,             0.93098,             0.51227,            0.029662,           0.0061938,           0.0019194,            0.008746,            0.008746,            0.008746
                  40,            0.043037,            0.014873,           0.0046123,             0.88278,             0.87048,             0.95986,             0.59165,            0.033733,           0.0060924,            0.001724,            0.008713,            0.008713,            0.008713
                  41,            0.042775,            0.013494,           0.0036665,             0.82721,             0.84512,               0.936,             0.49526,            0.031086,           0.0060144,           0.0017029,             0.00868,             0.00868,             0.00868
                  42,            0.038865,            0.013168,           0.0033595,             0.92067,             0.91561,             0.97725,             0.64742,            0.030559,            0.005953,           0.0017219,            0.008647,            0.008647,            0.008647
                  43,            0.043708,            0.013917,           0.0042773,             0.89241,             0.93242,             0.98405,             0.59418,            0.028032,           0.0061238,           0.0017639,            0.008614,            0.008614,            0.008614
                  44,            0.041028,            0.017626,           0.0074638,             0.89638,                   1,             0.98519,             0.62922,            0.023646,           0.0060951,           0.0017841,            0.008581,            0.008581,            0.008581
                  45,            0.042951,            0.017814,           0.0044305,             0.82733,             0.93112,             0.96947,             0.62465,            0.029911,            0.006031,           0.0017771,            0.008548,            0.008548,            0.008548
                  46,            0.043114,            0.013819,           0.0034503,              0.7568,             0.97228,             0.96639,             0.66478,            0.032166,           0.0056809,           0.0017455,            0.008515,            0.008515,            0.008515
                  47,            0.044506,            0.013685,           0.0045265,             0.93687,             0.88179,              0.9876,              0.6064,            0.031868,           0.0058212,           0.0016418,            0.008482,            0.008482,            0.008482
                  48,            0.044203,            0.014953,           0.0040712,             0.75778,             0.97314,             0.92122,             0.54597,            0.030345,           0.0057691,           0.0016094,            0.008449,            0.008449,            0.008449
                  49,            0.047728,             0.01503,           0.0041709,             0.90157,             0.90935,             0.97069,             0.54606,            0.030043,           0.0056263,           0.0015959,            0.008416,            0.008416,            0.008416
                  50,            0.041246,            0.014749,           0.0041525,             0.91916,              0.9861,             0.97462,             0.62047,              0.0244,           0.0056039,           0.0014933,            0.008383,            0.008383,            0.008383
                  51,            0.037369,            0.014176,           0.0048284,             0.90565,             0.96429,             0.97479,             0.63412,            0.023498,           0.0054079,           0.0014835,             0.00835,             0.00835,             0.00835
                  52,            0.040388,            0.013839,           0.0036955,             0.78395,             0.95883,             0.94297,              0.5616,             0.02999,           0.0054536,           0.0015029,            0.008317,            0.008317,            0.008317
                  53,            0.039861,            0.013742,           0.0040575,             0.95361,             0.94462,             0.98577,             0.67838,            0.023059,           0.0053757,           0.0015099,            0.008284,            0.008284,            0.008284
                  54,            0.038331,            0.014376,           0.0067972,             0.93268,             0.94047,             0.96205,              0.6664,            0.022172,           0.0055132,           0.0015503,            0.008251,            0.008251,            0.008251
                  55,            0.034063,            0.011526,           0.0028871,             0.97189,             0.94696,             0.99302,             0.58504,            0.025857,           0.0054139,           0.0015179,            0.008218,            0.008218,            0.008218
                  56,            0.036141,            0.013423,           0.0038002,             0.88493,              0.9458,             0.97676,             0.63031,            0.028409,           0.0053177,           0.0013988,            0.008185,            0.008185,            0.008185
                  57,            0.045888,            0.012998,           0.0041886,             0.94496,             0.97685,             0.99087,             0.58756,            0.031062,           0.0052807,           0.0014373,            0.008152,            0.008152,            0.008152
                  58,            0.041521,            0.013202,           0.0058955,             0.90293,             0.97497,             0.98711,             0.72908,            0.026614,           0.0053713,           0.0014408,            0.008119,            0.008119,            0.008119
                  59,             0.03839,             0.01534,           0.0044229,             0.89681,             0.96003,             0.97019,             0.60993,             0.02804,           0.0053301,           0.0013987,            0.008086,            0.008086,            0.008086
                  60,            0.042155,            0.012936,             0.00517,              0.8381,             0.97973,             0.94037,             0.60101,             0.03405,           0.0054316,           0.0013947,            0.008053,            0.008053,            0.008053
                  61,            0.039561,            0.013492,           0.0026947,              0.9441,             0.95072,             0.98177,             0.62835,             0.02505,            0.005433,           0.0014701,             0.00802,             0.00802,             0.00802
                  62,            0.042611,            0.013586,           0.0045229,             0.87293,             0.90785,             0.94894,             0.62037,            0.027142,           0.0052644,           0.0017625,            0.007987,            0.007987,            0.007987
                  63,            0.038826,            0.012225,           0.0050874,              0.8571,             0.96694,             0.92773,             0.56651,            0.026215,           0.0052759,           0.0018896,            0.007954,            0.007954,            0.007954
                  64,            0.041253,            0.012623,           0.0057765,             0.88301,             0.95475,             0.96847,             0.67579,            0.023626,            0.005169,           0.0021175,            0.007921,            0.007921,            0.007921
                  65,            0.033764,            0.012927,           0.0041254,             0.77659,             0.96094,             0.89718,              0.6211,            0.026204,           0.0050967,           0.0017653,            0.007888,            0.007888,            0.007888
                  66,            0.037569,             0.01422,           0.0030136,             0.89031,             0.98343,             0.96362,             0.68562,            0.026526,           0.0050392,           0.0016541,            0.007855,            0.007855,            0.007855
                  67,            0.036091,             0.01355,           0.0029792,             0.97405,                   1,             0.99318,             0.67726,            0.027157,           0.0049922,           0.0015035,            0.007822,            0.007822,            0.007822
                  68,            0.036711,            0.012797,           0.0039649,             0.96012,                   1,             0.99077,             0.72863,            0.021401,           0.0049503,           0.0014516,            0.007789,            0.007789,            0.007789
                  69,            0.033071,            0.014135,           0.0033285,              0.9839,             0.99696,               0.995,             0.74563,            0.020381,           0.0049206,           0.0014026,            0.007756,            0.007756,            0.007756
                  70,            0.033506,             0.01357,           0.0027959,             0.89293,             0.99138,              0.9654,              0.6638,            0.023352,           0.0050472,           0.0013068,            0.007723,            0.007723,            0.007723
                  71,            0.032843,            0.013281,           0.0038627,             0.98383,             0.99456,             0.99392,             0.72413,            0.020066,           0.0048546,            0.001302,             0.00769,             0.00769,             0.00769
                  72,            0.030704,            0.012522,           0.0022079,             0.79987,             0.97609,             0.95036,             0.62368,            0.028524,            0.005166,           0.0012228,            0.007657,            0.007657,            0.007657
                  73,            0.038465,              0.0122,           0.0040246,             0.91817,             0.98611,             0.97732,             0.64909,            0.023245,           0.0052057,           0.0012734,            0.007624,            0.007624,            0.007624
                  74,             0.03399,            0.013352,           0.0062611,             0.99577,             0.95134,              0.9695,              0.7416,            0.021709,           0.0053212,           0.0016157,            0.007591,            0.007591,            0.007591
                  75,            0.033986,            0.013928,            0.002756,             0.81196,             0.95943,             0.91641,             0.58164,            0.032163,           0.0054523,            0.001683,            0.007558,            0.007558,            0.007558
                  76,            0.035966,            0.010667,           0.0043616,             0.77699,             0.96851,             0.92413,             0.66553,            0.026263,           0.0051825,           0.0017308,            0.007525,            0.007525,            0.007525
                  77,            0.034128,            0.011934,             0.00583,             0.88301,             0.96339,             0.94719,             0.70463,             0.02212,           0.0050586,           0.0017523,            0.007492,            0.007492,            0.007492
                  78,             0.03322,            0.012559,           0.0034411,             0.88144,              0.9681,             0.96571,             0.70622,            0.023976,           0.0049792,           0.0016832,            0.007459,            0.007459,            0.007459
                  79,            0.034406,            0.013636,           0.0031421,             0.96703,             0.97116,             0.99173,             0.74043,            0.022568,           0.0049116,           0.0017926,            0.007426,            0.007426,            0.007426
                  80,            0.032608,            0.013278,           0.0031808,             0.94254,             0.97458,             0.98525,             0.71729,            0.020313,           0.0048868,           0.0016574,            0.007393,            0.007393,            0.007393
                  81,            0.034729,            0.011487,           0.0024973,             0.92062,             0.91244,              0.9771,             0.65993,            0.025492,           0.0048885,           0.0015318,             0.00736,             0.00736,             0.00736
                  82,            0.033963,            0.011783,           0.0024106,             0.91877,             0.94206,             0.98325,             0.73905,            0.024215,           0.0046761,           0.0015325,            0.007327,            0.007327,            0.007327
                  83,            0.034753,            0.012142,           0.0027758,              0.9923,              0.9847,             0.99475,             0.73019,            0.021005,           0.0046127,            0.001464,            0.007294,            0.007294,            0.007294
                  84,            0.031481,            0.011999,           0.0037325,               0.888,             0.99451,             0.98958,             0.68131,            0.027865,             0.00477,           0.0014736,            0.007261,            0.007261,            0.007261
                  85,             0.03336,            0.012511,           0.0031719,             0.90813,             0.99248,             0.99172,             0.72833,            0.025194,           0.0046892,           0.0014773,            0.007228,            0.007228,            0.007228
                  86,            0.034116,            0.014165,           0.0039963,             0.91971,             0.95649,              0.9862,             0.62778,            0.027204,           0.0048365,           0.0014925,            0.007195,            0.007195,            0.007195
                  87,            0.033842,            0.012317,           0.0062866,             0.99244,             0.97649,               0.995,             0.74246,            0.019992,           0.0047472,           0.0015088,            0.007162,            0.007162,            0.007162
                  88,            0.034379,             0.01355,           0.0046257,             0.87923,             0.96008,             0.97606,             0.70601,            0.025151,           0.0047395,           0.0014842,            0.007129,            0.007129,            0.007129
                  89,            0.035796,            0.013653,           0.0029334,             0.98105,             0.98463,             0.99371,             0.68892,            0.022107,           0.0048221,           0.0014698,            0.007096,            0.007096,            0.007096
                  90,            0.034753,             0.01307,            0.003572,             0.99424,             0.98727,               0.995,             0.74743,            0.018944,           0.0046809,           0.0014478,            0.007063,            0.007063,            0.007063
                  91,            0.027439,            0.011563,           0.0030456,             0.90446,             0.95655,              0.9767,             0.76416,            0.025195,           0.0046066,            0.001406,             0.00703,             0.00703,             0.00703
                  92,            0.035158,            0.012249,           0.0030057,             0.85585,             0.99636,             0.93505,             0.73624,            0.022268,           0.0045363,           0.0013814,            0.006997,            0.006997,            0.006997
                  93,             0.02904,             0.01189,           0.0034776,             0.98667,             0.99682,             0.99475,             0.78506,            0.020359,           0.0045116,           0.0013786,            0.006964,            0.006964,            0.006964
                  94,            0.030112,            0.010806,           0.0025457,             0.99187,             0.99259,               0.995,              0.7079,            0.022138,           0.0046536,           0.0012686,            0.006931,            0.006931,            0.006931
                  95,            0.032114,             0.01183,           0.0028621,             0.92084,               0.999,             0.98882,              0.7377,            0.020495,           0.0046306,           0.0012657,            0.006898,            0.006898,            0.006898
                  96,             0.03186,            0.011358,           0.0030502,             0.96005,                   1,             0.99434,             0.69028,            0.021016,           0.0046147,           0.0012204,            0.006865,            0.006865,            0.006865
                  97,            0.031639,            0.010968,           0.0026849,             0.96948,                   1,             0.99156,             0.74644,            0.022492,           0.0045195,           0.0012393,            0.006832,            0.006832,            0.006832
                  98,            0.030702,            0.013398,           0.0028215,             0.98654,                   1,               0.995,             0.77001,            0.019072,           0.0045731,           0.0012487,            0.006799,            0.006799,            0.006799
                  99,            0.027893,            0.011341,           0.0020826,             0.93474,              0.9961,             0.99273,             0.69359,            0.022707,           0.0046437,            0.001208,            0.006766,            0.006766,            0.006766
                 100,            0.036402,            0.013248,           0.0038318,             0.90246,             0.99206,             0.99042,             0.66106,            0.023519,           0.0047401,           0.0011838,            0.006733,            0.006733,            0.006733
                 101,            0.032637,            0.010383,           0.0028652,             0.91726,             0.98388,             0.99145,             0.73668,            0.021142,           0.0045071,           0.0011656,              0.0067,              0.0067,              0.0067
                 102,            0.033189,             0.01248,           0.0022547,             0.91248,             0.99591,             0.99188,             0.74318,            0.021017,           0.0045435,            0.001257,            0.006667,            0.006667,            0.006667
                 103,            0.032045,            0.011579,           0.0026767,             0.92823,             0.99778,             0.99188,              0.7825,            0.017493,           0.0044756,           0.0012986,            0.006634,            0.006634,            0.006634
                 104,            0.029854,            0.012022,           0.0049695,             0.95686,             0.99856,             0.99017,              0.7622,             0.02037,           0.0044616,           0.0014695,            0.006601,            0.006601,            0.006601
                 105,            0.031276,             0.01167,           0.0034255,             0.99055,             0.99985,               0.995,             0.77068,            0.017995,           0.0043915,           0.0014144,            0.006568,            0.006568,            0.006568
